# file...... Load671Power.csv
# date...... Wed Aug 15 12:08:11 2018
# user...... hu000007
# host...... (null)
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,l671:constant_power_A,l671:constant_power_B,l671:constant_power_C,l6711:constant_power_A,l6711:constant_power_B,l6711:constant_power_C
2000-01-05 14:01:00 EST,+71355.9+41974.1j,+94697.3+54522.7j,+101997+59280.2j,+80989.6+31727.9j,+70553.1+62252.7j,+128294+93787.7j
2000-01-05 15:01:00 EST,+70505.9+41474j,+97076+55892.2j,+102179+59386.3j,+78592.5+30788.8j,+70546+62246.4j,+132481+96848.5j
2000-01-05 16:01:00 EST,+69893.7+41113.9j,+99923+57531.4j,+101258+58850.7j,+74846.3+29321.2j,+70554.4+62253.9j,+126731+92644.9j
2000-01-05 17:01:00 EST,+70077.5+41222.1j,+93356.5+53750.7j,+100122+58190.4j,+84073.2+32935.9j,+70564.8+62263.1j,+128785+94146.4j
2000-01-05 18:01:00 EST,+71999.8+42352.8j,+97313.2+56028.8j,+99006.6+57542.3j,+79281.5+31058.7j,+70552+62251.7j,+129691+94808.4j
2000-01-05 19:01:00 EST,+72281.8+42518.7j,+91619.3+52750.5j,+98873.6+57465j,+74748.8+29283j,+70544.7+62245.4j,+124484+91002.1j
2000-01-05 20:01:00 EST,+78490.6+46170.9j,+99154.3+57088.8j,+103596+60209.7j,+80598+31574.5j,+71075.7+62713.8j,+123863+90548j
2000-01-05 21:01:00 EST,+76537.1+45021.9j,+100728+57994.7j,+109344+63550.4j,+75078.1+29412j,+73334.7+64707.1j,+123041+89947j
2000-01-05 22:01:00 EST,+78311.5+46065.6j,+95306.9+54873.7j,+108498+63058.8j,+76284.5+29884.7j,+72565.7+64028.6j,+122641+89654.7j
2000-01-05 23:01:00 EST,+78159.9+45976.4j,+96481.8+55550.1j,+100692+58521.6j,+82562.3+32344j,+70733+62411.5j,+121573+88874j
2000-01-06 00:01:00 EST,+75541.3+44436j,+96539.6+55583.4j,+99470.9+57812.1j,+81656+31988.9j,+71002.1+62648.9j,+123128+90011j
2000-01-06 01:01:00 EST,+76477.5+44986.8j,+100625+57935.7j,+105584+61364.9j,+82992.1+32512.4j,+77536.1+68414.2j,+123592+90350.3j
